buffer,sigma_annual,delay_mean,VaR95_median,ES95_median,P_breach_mean,Max_loss_p95
0.0,0.35,1.0,0.04643224348982089,0.06214355183013582,0.501064,0.1537382977404567
0.0,0.35,1.5,0.0526614848529226,0.06939499604273631,0.5026213333333334,0.17135233412396583
0.0,0.35,2.5,0.06310063779742525,0.08270389338386165,0.5027613333333334,0.1968466686615048
0.0,0.35,3.5,0.07144977968156452,0.09311835429326525,0.5048053333333333,0.21952688629072434
0.0,0.5,1.0,0.057463672442366776,0.07895871365314375,0.5027146666666666,0.2300300161857276
0.0,0.5,1.5,0.0670615188317682,0.09078408484555837,0.5051853333333334,0.2619060925785447
0.0,0.5,2.5,0.08330309209743497,0.11050469545688636,0.5061693333333335,0.30527200623051576
0.0,0.5,3.5,0.09568454347787003,0.12580757089441547,0.508456,0.33944337171437505
0.0,0.65,1.0,0.0688582888284695,0.0967298420730709,0.504244,0.3316652082268297
0.0,0.65,1.5,0.08176255200263743,0.11243561114573411,0.5072639999999999,0.38153511929498607
0.0,0.65,2.5,0.10281698039437798,0.13837935680865607,0.5092133333333334,0.44613956860933324
0.0,0.65,3.5,0.11877189452934656,0.1580536684312855,0.512072,0.5058921828273324
0.0,0.87,1.0,0.08423223704897354,0.12187082741361682,0.5066346666666667,0.5248188317600929
0.0,0.87,1.5,0.10163701500224737,0.14217860891483036,0.5101946666666666,0.621670890226781
0.0,0.87,2.5,0.12858092859561765,0.1775029036356644,0.5135706666666666,0.7149470384197466
0.0,0.87,3.5,0.14962594781665006,0.20291271729046184,0.5173186666666667,0.8148205872746277
0.05,0.35,1.0,0.0,0.013470792005848355,0.04905733333333334,0.08842457474531364
0.05,0.35,1.5,0.004497190207996882,0.021317058781915817,0.06926266666666667,0.10689878379214324
0.05,0.35,2.5,0.01501304126467895,0.03423118537936316,0.10517066666666669,0.13438274264481578
0.05,0.35,3.5,0.023810637506277377,0.0450706316743706,0.135304,0.1558345605743992
0.05,0.5,1.0,0.010040032584278324,0.030823348433341943,0.084576,0.15196626309766698
0.05,0.5,1.5,0.01994582850557508,0.04283123055473166,0.11624533333333333,0.18376102078071474
0.05,0.5,2.5,0.03566008953733513,0.06246934390206481,0.16611066666666666,0.22978135124912802
0.05,0.5,3.5,0.048593392542959635,0.07869409068512995,0.20476800000000003,0.26548003516919766
0.05,0.65,1.0,0.02269625319309948,0.04924851517420241,0.11749200000000001,0.23637185313626757
0.05,0.65,1.5,0.03549524516887914,0.0652006072175859,0.15733866666666665,0.283726720238706
0.05,0.65,2.5,0.05623456570639335,0.09100685704196679,0.21573866666666666,0.35651578840958054
0.05,0.65,3.5,0.0732403231462978,0.11161258062039844,0.25697200000000003,0.40848976491173444
0.05,0.87,1.0,0.04022003482090358,0.07566596610318035,0.156604,0.39909900522872066
0.05,0.87,1.5,0.05683213940027973,0.09599159041754564,0.20488266666666669,0.48205215041576394
0.05,0.87,2.5,0.08441178803827842,0.13127085051790305,0.27064133333333334,0.5885141376305286
0.05,0.87,3.5,0.10604748758440319,0.1577888204508534,0.3119719999999999,0.6930598251236655
0.1,0.35,1.0,0.0,0.0,0.002566666666666667,0.034533900896090694
0.1,0.35,1.5,0.0,0.0007512474894845744,0.0052306666666666665,0.050296300133440865
0.1,0.35,2.5,0.0,0.0034132046371330954,0.01273066666666667,0.07792425029610754
0.1,0.35,3.5,0.0,0.007271319345243795,0.02256266666666667,0.09915184169995712
0.1,0.5,1.0,0.0,0.0033822120014082736,0.011598666666666667,0.08768203696386248
0.1,0.5,1.5,0.0,0.0076047859936095984,0.02070666666666667,0.11617827604770156
0.1,0.5,2.5,0.0,0.019118687617076413,0.04171466666666667,0.16080632360978508
0.1,0.5,3.5,0.004388299623809322,0.03357652210126604,0.06392533333333333,0.19582591886712197
0.1,0.65,1.0,0.0,0.011679050470460493,0.02723466666666667,0.15424696994276627
0.1,0.65,1.5,0.0,0.022557037609367517,0.04431199999999999,0.20075275635893283
0.1,0.65,2.5,0.012967436320244163,0.045811303951883986,0.07908266666666666,0.2688151766846837
0.1,0.65,3.5,0.029598899256329803,0.0666590113288707,0.111116,0.3243841369438636
0.1,0.87,1.0,0.0010578708807710835,0.03260671520506329,0.056738666666666666,0.29461212369802336
0.1,0.87,1.5,0.015469612466365412,0.053034755986525545,0.08490666666666667,0.3719907222480929
0.1,0.87,2.5,0.04175237730855946,0.08667125283110334,0.13408533333333333,0.4803728945649265
0.1,0.87,3.5,0.06345584684961486,0.11450756422437411,0.17531733333333333,0.5918162373368416
0.15,0.35,1.0,0.0,0.0,8.133333333333334e-05,0.0
0.15,0.35,1.5,0.0,0.0,0.0002906666666666667,0.00427861248996202
0.15,0.35,2.5,0.0,0.0,0.0011426666666666668,0.030306411489207517
0.15,0.35,3.5,0.0,0.0,0.002830666666666667,0.047358492088190776
