buffer,sigma,VaR95_median,ES95_median,P_breach_mean
0.0,0.15,0.025407751696156167,0.09410193615396806,0.5051680000000001
0.0,0.25,0.030160712433869474,0.09610535058368028,0.505008
0.0,0.35,0.035285266494725465,0.10308030699794685,0.506944
0.0,0.5,0.04417846442100032,0.11446624188459625,0.509168
0.02,0.15,0.0095688210522622,0.08058558986507292,0.20172800000000005
0.02,0.25,0.014619074051994418,0.0852017589834054,0.23572800000000005
0.02,0.35,0.020196133151834328,0.089889274613912,0.266336
0.02,0.5,0.029668631027724046,0.10131433404487566,0.30275199999999997
0.05,0.15,0.0,0.06914214220884231,0.027888
0.05,0.25,0.0,0.07163849508427324,0.050256
0.05,0.35,0.0023809163070300093,0.07635148753387716,0.07977600000000001
0.05,0.5,0.01014104455043821,0.0847815973374885,0.12488000000000002
0.08,0.15,0.0,0.06785185840756719,0.012176000000000003
0.08,0.25,0.0,0.06688997202850508,0.016032000000000005
0.08,0.35,0.0,0.06847979487186677,0.02664
0.08,0.5,0.0,0.0728715869774961,0.053072
0.1,0.15,0.0,0.06716242295534106,0.011776000000000002
0.1,0.25,0.0,0.06611039157795304,0.01264
0.1,0.35,0.0,0.06680859129588586,0.016584
0.1,0.5,0.0,0.06764164779938542,0.031744
0.15,0.15,0.0,0.06543145757761779,0.011704
0.15,0.25,0.0,0.0648018681300169,0.011712000000000002
0.15,0.35,0.0,0.06452536462930093,0.012039999999999999
0.15,0.5,0.0,0.061762297578853,0.014768
