date,open,high,low,price_usd,volume,log_return,pct_return,volatility_30d,volatility_90d
2022-02-11,4.4768713582,4.4827427751,4.3514541574,4.3514541574,1101450.59,-0.0283901444345295,-0.0279909311129655,0.7902593407460174,0.9268518302712065
2022-02-12,4.3514867381,4.3732758963,4.3270188914,4.350254902,650767.91,-0.000275636751219,-0.0002755987668997,0.7840205041458781,0.9266455020614297
2022-02-13,4.3502313729,4.3681598659,3.9934121857,4.0557894362,2085776.92,-0.0700890907552848,-0.0676892440635192,0.8029888370400405,0.9326487080102505
2022-02-14,4.0557951936,4.1344947356,3.9664682995,4.1272175242,1719487.75,0.0174581061762282,0.0176113896255232,0.8047433861763514,0.9312852510908952
2022-02-15,4.1270117966,4.2060296541,4.1051511898,4.2028058646,1340064.83,0.0181489082689238,0.0183146005648568,0.8034571066391355,0.9316705667321509
2022-02-16,4.2033269515,4.3950746617,4.1797719868,4.3825944366,1840317.25,0.0418885209146799,0.0427782243082766,0.7912093028116108,0.9341742257463825
2022-02-17,4.382677453,4.5859221335,4.38054074,4.5332637584,2714689.74,0.0338012703951049,0.0343790245662998,0.7955780157802417,0.9182315641772122
2022-02-18,4.5332672461,4.5638907459,4.3071133543,4.3181238041,926780.56,-0.0486211532323826,-0.0474580712188548,0.79725590036392,0.914277884771233
2022-02-19,4.3190854785,4.3351561514,4.2464805739,4.2674896805,832252.31,-0.0117952457889573,-0.0117259545805341,0.7946193157819698,0.9139129026046017
2022-02-20,4.2672177279,4.298855884,4.167715741,4.1802285032,710001.57,-0.020659846643156,-0.0204478941563076,0.7803401149347268,0.9124690292486034
2022-02-21,4.1799200091,4.190557785,4.0060436073,4.0060436073,989331.95,-0.0425617881987284,-0.0416687498701711,0.7537135242315814,0.9133105403868537
2022-02-22,4.0071327339,4.0985225294,3.8864574688,4.07899572,3608177.82,0.0180466883769527,0.0182105138763502,0.7158387194410436,0.9142633387589013
2022-02-23,4.0794306077,4.156048563,3.9623489078,3.9641589939,1223801.88,-0.0285570859345674,-0.0281531862210436,0.7010087623610769,0.9126118581249777
2022-02-24,3.9641769507,3.9755142566,3.7639874967,3.7746497334,1715318.26,-0.0489861325817102,-0.0478056659159268,0.7093852058188325,0.9152490488193641
2022-02-25,3.774612237,3.8945336231,3.6943682096,3.8852481751,670358.39,0.0288792695721597,0.0293003191054708,0.718515259882632,0.9136918556168285
2022-02-26,3.8857968098,3.887598559,3.8587288433,3.8645160436,159140.46,-0.0053504030246116,-0.005336115111737,0.7098129201347514,0.9128852537925632
2022-02-27,3.864327459,3.8892360698,3.8356431175,3.8358917762,312551.76,-0.0074345151355981,-0.0074069474876173,0.6695146234115767,0.9080142424272787
