Token,Start Date,End Date,N Days,Current Price,All-Time High,All-Time Low,Mean Price,Std Price,Mean Daily Return (%),Daily Volatility (%),Annualized Volatility (%)
BCT,2024-01-09,2024-01-09,1,,,,,,,,
NCT,2024-01-09,2024-01-09,1,,,,,,,,
