Beta,VaR95_Static,VaR95_Dynamic,Risk_Amplification_pct,ES95_Static,ES95_Dynamic
1,-0.9389762201980079,-0.9524054335281716,1.4301973832022918,-0.9610363577223496,-0.9705044375192081
5,-0.9529620303783853,-0.991315649840595,4.0246744612669305,-0.9742327297387954,-0.9955468360853817
10,-0.9443302003099822,-0.9982648794338671,5.7114216093248515,-0.9663399091913061,-0.9990809899644424
15,-0.9545611052447127,-0.9997840745612596,4.737566727585607,-0.9752014038444602,-0.9999256494910249
20,-0.9478743716357827,-0.9999717384158735,5.4962311820061505,-0.9732759973636839,-0.9999904374405573
