Sample_Size_N,Bridge_Mean_Median_VaR95,Bridge_Seed_SD,Bridge_CV_Percent,Bridge_Relative_Range_Percent,Native_Mean_Median_VaR95,Native_Seed_SD,Native_CV_Percent,Native_Relative_Range_Percent
1000,0.056335767559560455,0.0011118992373130624,1.9737003425710273,6.204525987372032,0.018118895428278114,0.001433213942956204,7.9100514080973765,26.20304287658356
3000,0.056587396731888215,0.0005946196085975651,1.0507986635520277,3.8187196780913357,0.018016124731247224,0.0008983081446927774,4.986134133134352,16.846251588144444
5000,0.05659845045613476,0.00042255179401993624,0.7465783791155636,2.770124470745267,0.017816301034079225,0.0007415250434689123,4.162059464815478,12.654792502743474
10000,0.056694808498433,0.0003306644012650488,0.5832357671235243,1.946681170915973,0.018010126954240126,0.00044896281385340526,2.4928353642043923,8.24278193098314
