Architecture,Scenario,VaR95,ES95,P(breach)
Bridge,"Baseline (σ=35%, c=5%)",0.004497190207996882,0.021317058781915817,0.06926266666666667
Bridge,"Empirical (σ=87%, c=5%)",0.05683213940027973,0.09599159041754564,0.20488266666666669
Native,Baseline (p_detect=0.4),0.01750794893033853,0.02107602802986275,0.0
