Metric,Value
Under-collateralization p (mean),0.20488266666666669
Under-collateralization p (median),0.204
ES|breach (mean USD),0.05058573920181007
ES|breach (median USD),0.04297902432742827
Max_gap (mean),0.22978983194097546
Max_gap (median),0.18827379920816256
Median_gap (mean),0.0353761897839882
Median_gap (median),0.030406144835368965
