beta,Bridge_L_B,Native_L_N,ratio_B_over_N,safer
0.0,0.11041561964912391,0.058273543292400115,1.8947812920022666,Native
0.5,0.11041561964912391,0.08741031493860017,1.2631875280015112,Native
1.0,0.11041561964912391,0.11654708658480023,0.9473906460011333,Bridge
2.0,0.11041561964912391,0.17482062987720035,0.6315937640007556,Bridge
3.0,0.11041561964912391,0.23309417316960046,0.47369532300056666,Bridge
5.0,0.11041561964912391,0.3496412597544007,0.3157968820003778,Bridge
