Distribution,Parameters,KS_stat,KS_p,AD_stat,AD_critical_5pct,LogLik,BIC,n_params
Normal,"μ=-0.0026, σ=0.0548",0.16410433460735885,1.0979671529476142e-36,89.67065015016715,0.785,2286.9887169511635,-4559.2996576346495,2
Student-t,"ν=1.36, loc=-0.0021, scale=0.0165",0.028788919920565217,0.15294935065717896,,,2886.7200242422587,-5751.423384083001,3
GED,"β=0.55, loc=-0.0017, scale=0.0074",0.023269453709920507,0.3695746037817844,,,2914.311360841607,-5806.606057281698,3
Laplace,"loc=-0.0020, scale=0.0299",0.06916529713520914,7.590138175927243e-07,,,2796.1251552451486,-5577.57253422262,2
Skew-Normal,"α=-0.79, loc=0.0280, scale=0.0627",0.16487113715720636,5.0010046464641445e-37,,,2294.0826987979067,-4566.148733194297,3
