sigma,E_IL_NET_median,VaR95_median
0.35,0.008242933191519423,0.02106637541278171
0.5,0.009161193615753058,0.021990855134400175
0.65,0.008432953991216772,0.0209949458809246
0.87,0.008166801061842643,0.017756182183632695
