Model,Optimal_Buffer,VaR95_median,ES95_median,Breach_Prob,VaR95_std
GBM,0.12409984474846812,0.0,0.2964475776981846,0.048108000000000005,0.048530641137369254
Merton Jump,0.135278618324198,0.004760615794655684,0.3249558637164625,0.05181200000000001,0.06889773700507965
Student-t(5),0.11959491441660318,0.0,0.012273205373511903,0.049928000000000014,0.0638406107851369
"GARCH(1,1)",0.11020017406440383,0.0,0.04161268356759008,0.051736000000000004,0.17557216713555301
