Metric,Value
Under-collateralization p (mean),0.5101946666666666
Under-collateralization p (median),0.512
ES|breach (mean USD),0.051211720114485826
ES|breach (median USD),0.044432975026792526
Max_gap (mean),0.2923074528052142
Max_gap (median),0.23934459077577241
Median_gap (mean),0.03345344052380703
Median_gap (median),0.030161335032315384
