sigma,tau,VaR95_median
0.35,1.0,0.04643224348982089
0.35,1.5,0.05266148485292266
0.35,2.5,0.06310063779742531
0.35,3.5,0.07144977968156435
0.5,1.0,0.057463672442366776
0.5,1.5,0.06706151883176814
0.5,2.5,0.08330309209743508
0.5,3.5,0.09568454347787003
0.65,1.0,0.06885828882846945
0.65,1.5,0.08176255200263743
0.65,2.5,0.10281698039437792
0.65,3.5,0.11877189452934661
0.87,1.0,0.08423223704897359
0.87,1.5,0.10163701500224737
0.87,2.5,0.1285809285956177
0.87,3.5,0.14962594781665006
