period,days,sigma_annual,jump_frequency,price_start,price_end,price_change,max_drawdown,worst_daily_return,kurtosis
Pre-Crisis (Feb-Apr 2023),89,0.7350882090486555,8.49438202247191,1.0489650236,1.0469286406,-0.001941325930021301,-0.42127098736348806,-0.1393656726166682,4.249725429271231
Crisis (May-Aug 2023),123,0.6073720358056394,4.097560975609756,1.0455291293,0.3707076892,-0.6454353314400764,-0.6895264178549174,-0.281936199420182,30.413643625882138
