Scenario,VaR95_USD (median),ES95_USD (median),Mass_at_zero_VaR,Under-collateralization p (mean)
No buffer,0.10163701500224737,0.14217860891483036,0.0,0.5101946666666666
5% buffer,0.05683213940027973,0.09599159041754564,0.0,0.20488266666666669
